customer_id,customer_name,gender,age,city,state,annual_income,signup_date,loyalty_status,days_since_signup,days_since_last_purchase,transaction_id,transaction_date,store_id,store_type,payment_method,total_items,total_sales_per_transaction,total_profit_per_transaction,total_cost,product_id,product_name,category,unit_price,quantity,satisfaction_score,store_sales,store_profit,daily_footfall,purchase_frequency,total_items_bought,cumulative_spending,cumulative_cost,average_order_value
CUST01393,Brinda Prashad,Female,21,Jorhat,Assam,732837,26-03-2024,VIP,334,108,TRANS05895,19-08-2021,STORE0002,Online,UPI,1,40000,6000,34000,PROD0001,"Samsung LED TV 40""",Electronics,40000,1,4,151800,26754,160,29,86,1258800,1036542,43406.9
CUST00398,Zilmil Char,Female,28,Rourkela,Odisha,732837,02-04-2024,Regular,327,47,TRANS04332,02-01-2023,STORE0021,Online,Wallet,3,39000,6240,32760,PROD0020,IKEA Bookshelf,Furniture,13000,3,4,313800,49216,282,34,114,1767450,1455488,51983.82
CUST01409,Yachana Lalla,Female,28,Guntur,Andhra Pradesh,732837,14-03-2024,Regular,346,4,TRANS06059,27-02-2022,STORE0017,Online,UPI,3,16500,3300,13200,PROD0018,Nilkamal Chair Set,Furniture,5500,3,5,850600,147810,210,29,90,1223420,1013411,42186.9
CUST00805,Urmi Nori,Female,21,Bishnupur,Manipur,732837,22-08-2021,Regular,1281,2,TRANS01314,07-07-2024,STORE0044,Online,Credit Card,2,5000,1100,3900,PROD0011,Levi’s Men’s Jeans,Clothing,2500,2,4,206530,33120.5,207,32,101,1611420,1329611,50356.88
CUST01275,Andrew Halder,Male,28,Solan,Himachal Pradesh,4761065,24-12-2021,Regular,1157,29,TRANS04162,10-11-2022,STORE0041,Online,Credit Card,4,108000,21600,86400,PROD0002,"Mi Smart TV 32""",Electronics,27000,4,3,952400,164385,266,27,143,1811600,1477157,67096.3
CUST01088,Frado Karnik,Male,53,Bikaner,Rajasthan,732837,18-09-2021,Regular,1254,69,TRANS08268,01-04-2024,STORE0032,Online,UPI,1,1500,330,1170,PROD0025,Maybelline Lipstick,Beauty,1500,1,5,212500,33180,494,29,86,1439220,1195048,49628.28
CUST01001,Vedhika Saraf,Female,21,Patna,Bihar,368136,14-02-2018,Regular,2566,3,TRANS07462,06-03-2024,STORE0034,Online,UPI,3,72000,10800,61200,PROD0016,Godrej Interio Sofa,Furniture,24000,3,5,142100,22848,312,23,66,689340,567036,29971.3
CUST00603,Ranbir Kade,Male,43,Thoubal,Manipur,732837,01-04-2022,Regular,1059,40,TRANS04637,14-08-2023,STORE0025,Online,Cash,1,8000,1440,6560,PROD0027,LG Microwave Oven,Appliances,8000,1,2,23000,4965,308,30,82,1617400,1336784,53913.33
CUST00596,Nirja Bawa,Female,28,Asansol,West Bengal,368136,21-05-2020,Regular,1739,42,TRANS04386,14-08-2022,STORE0025,Online,Cash,3,120000,18000,102000,PROD0001,"Samsung LED TV 40""",Electronics,40000,3,3,512300,90644,308,34,91,1199610,986372,35282.65
CUST00101,Yahvi Gill,Female,28,Vijayawada,Andhra Pradesh,732837,03-09-2022,At Risk,904,198,TRANS06820,19-04-2021,STORE0001,Online,UPI,3,7500,1875,5625,PROD0030,Prestige Induction,Appliances,2500,3,4,37600,8625,393,28,90,1605610,1317032,57343.21
CUST00721,Faris Munshi,Male,43,Tezpur,Assam,4761065,22-04-2023,Regular,673,89,TRANS09217,30-05-2022,STORE0025,Online,UPI,2,13000,2340,10660,PROD0014,Raymond Suit,Clothing,6500,2,5,28500,5030,308,31,135,1697400,1389347,54754.84
CUST00028,Dev Chatterjee,Male,21,Patna,Bihar,732837,26-02-2023,Regular,728,4,TRANS03987,14-11-2021,STORE0023,Online,Cash,4,10000,2500,7500,PROD0003,boAt Rockerz Headphones,Electronics,2500,4,3,36800,7830,128,18,55,780800,643890,43377.78
CUST01221,Tarak Kade,Male,28,Ludhiana,Punjab,732837,05-02-2023,Regular,749,84,TRANS01184,15-06-2021,STORE0003,Online,Cash,2,1600,320,1280,PROD0010,Amul Cheese 1kg,Groceries,800,2,2,216100,39620,289,22,67,1218900,1002960,55404.55
CUST00933,Warda Keer,Female,28,Vasco da Gama,Goa,368136,25-09-2024,Regular,151,79,TRANS03547,16-05-2023,STORE0008,Online,UPI,5,175000,31500,143500,PROD0017,Pepperfry Dining Set,Furniture,35000,5,4,428500,77330,103,24,83,1716100,1412826,71504.17
CUST01245,Chandresh Yadav,Male,21,Tawang,Arunachal Pradesh,732837,17-06-2024,Regular,251,14,TRANS03892,29-02-2024,STORE0031,Online,UPI,2,54000,10800,43200,PROD0002,"Mi Smart TV 32""",Electronics,27000,2,5,889200,157040,281,19,64,1140300,945121,60015.79
CUST01324,Priya Prashad,Female,43,Bangalore,Karnataka,368136,14-11-2020,VIP,1562,173,TRANS04963,28-05-2022,STORE0017,Online,Credit Card,2,1000,250,750,PROD0006,Aashirvaad Atta 10kg,Groceries,500,2,5,370500,61320,210,15,37,209900,169877,13993.33
CUST00968,Udyati Jain,Female,28,Asansol,West Bengal,732837,08-06-2023,Regular,626,47,TRANS06349,23-01-2024,STORE0043,Online,UPI,2,54000,10800,43200,PROD0002,"Mi Smart TV 32""",Electronics,27000,2,5,169100,32200,401,24,67,975380,804661,40640.83
CUST01305,Falguni Prasad,Female,28,Mangan,Sikkim,368136,16-07-2019,Regular,2049,75,TRANS08260,29-10-2023,STORE0028,Physical,UPI,4,140000,25200,114800,PROD0017,Pepperfry Dining Set,Furniture,35000,4,3,279500,46710,162,32,100,1555620,1282524,48613.12
CUST00043,Anthony Venkataraman,Male,28,Faridabad,Haryana,368136,10-05-2024,Regular,289,41,TRANS06235,03-08-2023,STORE0002,Online,Cash,1,62000,11160,50840,PROD0004,"LG Smart TV 55""",Electronics,62000,1,4,181300,30960,160,29,79,998100,808270,34417.24
CUST00866,Raghav Saini,Male,43,Kanpur,Uttar Pradesh,732837,11-04-2019,Regular,2145,28,TRANS03638,13-06-2024,STORE0021,Online,Credit Card,1,400,120,280,PROD0031,Hot Wheels Track Set,Toys,400,1,5,174900,34030,282,25,77,1675100,1371245,67004
CUST00997,Mugdha Rout,Female,21,Kochi,Kerala,368136,06-03-2021,VIP,1450,114,TRANS03473,04-03-2024,STORE0024,Physical,Credit Card,1,500,125,375,PROD0006,Aashirvaad Atta 10kg,Groceries,500,1,2,3420,951,484,22,63,891500,736052,40522.73
CUST00226,Janani Baria,Female,28,Sambalpur,Odisha,732837,07-07-2020,Regular,1692,44,TRANS08185,06-08-2023,STORE0046,Online,Cash,5,1000,350,650,PROD0023,Nykaa Nail Polish,Beauty,200,5,2,237220,45092,345,23,78,665700,549904,28943.48
CUST00904,Bimala Srinivas,Female,28,Udaipur,Rajasthan,368136,03-02-2022,Regular,1116,5,TRANS06870,14-11-2022,STORE0025,Online,Credit Card,2,40000,6800,33200,PROD0019,Urban Ladder Bed,Furniture,20000,2,3,92500,17575,308,25,71,684970,557884,27398.8
CUST01128,Veda Dar,Female,43,Haridwar,Uttarakhand,368136,05-12-2018,Regular,2272,18,TRANS07280,06-09-2021,STORE0004,Online,Cash,4,248000,44640,203360,PROD0004,"LG Smart TV 55""",Electronics,62000,4,2,499800,89090,469,24,68,1273300,1045850,53054.17
CUST01076,Rayaan Sengupta,Male,43,Nainital,Uttarakhand,368136,05-06-2020,Regular,1724,77,TRANS01615,07-10-2021,STORE0012,Online,Debit Card,3,24000,4800,19200,PROD0015,Biba Salwar Suit,Clothing,8000,3,3,162000,32900,352,23,69,582800,480155,25339.13
CUST00226,Janani Baria,Female,28,Sambalpur,Odisha,732837,07-07-2020,Regular,1692,44,TRANS03895,21-09-2023,STORE0017,Online,Cash,1,700,196,504,PROD0009,Fortune Oil 5L,Groceries,700,1,2,199850,36614.5,210,23,78,665700,549904,28943.48
CUST00201,Falguni Sankar,Female,43,Srinagar,Jammu and Kashmir,4761065,25-07-2022,Regular,944,72,TRANS09424,01-12-2023,STORE0018,Online,UPI,6,18000,3960,14040,PROD0029,Havells Mixer Grinder,Appliances,3000,6,5,186400,33945,439,28,145,1991200,1640295,71114.29
CUST00971,Bhavya Bhavsar,Female,21,Gandhinagar,Gujarat,368136,18-01-2019,Regular,2228,36,TRANS09953,12-03-2023,STORE0009,Online,Wallet,2,11000,2200,8800,PROD0018,Nilkamal Chair Set,Furniture,5500,2,3,100390,19036,224,29,78,1025790,855843,35372.07
CUST00135,Pahal Chad,Female,28,Jorhat,Assam,4761065,13-05-2020,Regular,1747,50,TRANS08211,25-01-2024,STORE0044,Online,Credit Card,6,162000,32400,129600,PROD0002,"Mi Smart TV 32""",Electronics,27000,6,4,222500,45430,207,24,120,2008400,1651935,83683.33
